date, pm25, pm10, o3, no2, so2, co, year
7/4, 11, , 21, 1, , 1, 2021
7/5, 26, , 19, 1, , 1, 2021
7/6, 9, , 19, 1, , 1, 2021
7/7, 13, , 20, 1, , 1, 2021
7/8, 18, , 19, 3, , 1, 2021
7/9, 43, , 17, 4, , 1, 2021
7/10, 47, , 18, 1, , 1, 2021
7/11, 31, , 19, 1, , 1, 2021
7/12, 34, , 18, 1, , 1, 2021
7/13, 25, , 23, 1, , 1, 2021
7/14, 24, , 23, 1, , 2, 2021
7/15, 18, , 20, 1, , 1, 2021
7/16, 16, , 21, 1, , 1, 2021
7/17, 24, , 15, 2, , 1, 2021
7/18, 26, , 18, 1, , 1, 2021
7/19, 28, , 18, 2, , 1, 2021
7/20, 39, , 17, 1, , 1, 2021
7/21, 24, , 17, 1, , 1, 2021
7/22, 43, , 17, 1, , 1, 2021
7/23, 46, , 19, 2, , 1, 2021
7/24, 39, , 20, 1, , 1, 2021
7/25, 16, , 20, 1, , 1, 2021
7/26, 18, , 19, 2, , 1, 2021
7/27, 10, , 17, 3, , 1, 2021
7/28, 13, , 17, 2, , 1, 2021
7/29, 10, , 19, 2, , 1, 2021
7/30, 15, , 18, 1, , 1, 2021
7/31, 11, , 26, 1, , 1, 2021
8/1, 9, , 23, 1, , 1, 2021
8/2, 14, , 25, 1, , 1, 2021
8/3, 7, , 20, 1, , 2, 2021
8/4, 12, , 20, 1, , 2, 2021
8/5, 7, , 13, 1, , 2, 2021
8/6, 13, , 12, 3, , 2, 2021
8/7, 27, , 15, 1, , 2, 2021
8/8, 8, , 24, 1, , 2, 2021
8/9, 14, , 22, 1, , 2, 2021
8/10, 34, , 22, 3, , 2, 2021
8/11, 34, , 23, 2, , 2, 2021
8/12, 26, , 24, 2, , 3, 2021
8/13, 42, , 22, 2, , 2, 2021
8/14, 19, , 23, 1, , 2, 2021
8/15, 24, , 19, 1, , 2, 2021
8/16, 25, , 16, 1, , 2, 2021
8/17, 42, , 26, 1, , 2, 2021
